MEblack	MEblue	MEbrown	MEcyan	MEdarkgreen	MEdarkgrey	MEdarkorange	MEdarkred	MEdarkturquoise	MEgreen	MEgreenyellow	MEgrey	MEgrey60	MElightcyan	MElightgreen	MElightyellow	MEmagenta	MEmidnightblue	MEorange	MEpink	MEpurple	MEred	MEroyalblue	MEsaddlebrown	MEsalmon	MEskyblue	MEsteelblue	MEtan	MEturquoise	MEwhite	MEyellow	Rows	Class
1	0.0981199933898278	0.119730495826484	-0.00126960068562437	-0.0144847475989617	-0.0869343028641032	0.121061247322687	0.153208107008354	0.019824858291457	-0.0915888127205179	-0.0238528133589947	-0.146386296700342	0.0360566698328391	0.13115329938474	-0.0473858667161568	-0.0371204493008318	-0.059314816955184	-0.0283687290397525	-0.071072575338169	0.20883702172948	-0.053431036477939	0.0771116794761623	0.0915390993858626	0.118598597587194	-0.229999311384541	0.150341130092026	-0.095299977767983	0.0248950283962345	-0.0498587822285795	-0.202830222429616	0.158115584171366	-0.0542074703410365	CTL_816	Class1
2	0.208183660321443	0.0751263922055162	0.0666672699171298	0.202409611093899	-0.067172780763897	-0.111485042032613	0.195847774410714	0.322526534914706	-0.000278481006092401	0.208821942131884	0.205548436478079	0.0198833315645986	0.230642624054276	0.0556417387340176	-0.118233069736662	-0.0842264487710043	-0.207995812468894	-0.11859539666002	0.0962565521775572	-0.181006713818291	0.142019754019176	0.217605955422658	0.0491496195445031	-0.182401704967623	-0.0287604023007551	0.226119131486249	-0.238210983446248	-0.28746863211508	-0.161281241569604	-0.0485317807339697	-0.00564151504269206	CTL_846	Class1
3	0.0994661168528259	0.157948879069626	0.0601609792942704	-0.0541002795531313	-0.082682051309285	0.0466868049913354	0.0791540980106773	-0.122374718735493	0.0241289770456215	-0.102938488141339	-0.13912568231231	-0.0248064037814648	0.0880818426442281	-0.0286346264571365	-0.00327014403234904	-0.0206215864995304	-0.0307727168720416	-0.0268690623998448	0.107246653155862	-0.0539345496840845	0.125194294760477	0.0592981821823516	-0.11214221285945	0.0419457056325009	0.109377972478477	-0.15052922628262	-0.0644831371850307	-0.124250686265363	-0.153585911809233	0.0453993603421288	0.121583397291119	CTL_820	Class1
4	-0.28333419563142	-0.107007231083057	-0.167238181414925	-0.228369950503962	0.326006243678938	0.29338088148992	-0.376980511826103	-0.17936396104319	0.0259761095391148	0.0111285692987514	-0.340630495842121	-0.280592782223925	-0.247780224767362	-0.202020172116126	0.391809283111341	0.115232416291272	0.240146816070702	0.19764012865925	-0.000127963218547864	0.131214163787221	-0.28663819543347	-0.188870901330798	0.0915795071640947	-0.17049284485839	-0.0373177809461871	-0.143679952996193	0.0256845910585164	0.219619753348163	0.185629275402393	0.237986986305193	-0.0460168846167028	CTL_844	Class1
5	0.0600288434838224	-0.408499436648903	0.140771948798777	-0.158688982869279	0.0491345440605633	-0.0569722983481218	-0.241278213768722	0.206941252588288	0.174937623905224	-0.0733814894399931	0.397117009211906	0.22410983672159	-0.252716859693876	0.116678062562185	0.15372389287817	-0.0986370983558824	0.0703545088994814	0.0467855899518448	-0.151159333255277	0.158445455497711	0.0866199791712717	-0.0916328954763742	-0.0157799966903335	0.0978855905881216	-0.0392729018664441	-0.0802899732829917	0.145240504769311	-0.0164958925098727	0.203428801211042	-0.27913951074257	-0.0940235610528096	CTL_845	Class1
6	0.236095682644107	-0.133753886462169	0.301202767300497	-0.407990696098532	-0.283541408810623	0.11832298370984	0.0884120993524681	-0.0207853408020862	-0.0229965082911922	-0.152003595224295	-0.0277303848583919	0.329090985632233	-0.221128941938752	0.11004197643581	0.205098647125344	-0.0944078391019487	0.326751676088214	-0.0344055938089288	0.273056208988435	0.0106513043133228	0.452135769877277	0.128050592969995	-0.215526820054302	-0.0785071681049496	-0.0706838316122298	-0.459465113851657	-0.199717886719243	0.430022086093208	-0.082010376786874	-0.174620632784955	0.275016861298567	CTL_818	Class1
7	0.152995070652026	0.148333846321523	0.312537251721454	-0.284251097824042	-0.309135410536729	0.0539603876344873	0.150458545147288	0.0285147687849773	-0.23011482430623	0.00176379871941095	-0.249755000139038	-0.291767475408845	-0.122712935704042	-0.0495023781973687	0.334287733926223	-0.209999312924505	0.0387711066301047	0.0633240487068831	-0.0066799279961111	-0.337038579898334	0.144978410008676	0.0840228658415769	-0.103644521572769	0.0906527706554155	-0.203635513575841	-0.245228023302586	-0.268931782546833	0.172116109165484	-0.119757126116949	0.084659989306266	0.522767578936844	CTL_848	Class1
8	-0.203399762795309	0.143690452858207	-0.0750631065243532	-0.0316759261145688	0.00120430075720645	0.0697362330479575	-0.115285821232606	-0.280379690306846	-0.257690727087972	-0.0153574515619985	-0.248651903680389	-0.0836641800549235	-0.0277737030432893	-0.226122796513081	0.0647600259578976	-0.0770513557181955	-0.0586856347665223	0.0524817182829488	-0.222822410574712	-0.214374164515576	-0.190299516064661	-0.130711763779974	0.0626751990462578	0.305560459355969	0.049433278722388	-0.11340126647094	0.317684793479033	0.0249429918260106	0.0991128083847021	0.104505626448721	0.0663109021124778	CTL_850	Class1
9	-0.00468846640989294	-0.0612770932387543	0.0682078868564537	0.00160499952613708	-0.0488764894925133	-0.18528217890168	-0.0978078854415093	-0.0605300086633421	-0.0124983625006745	-0.023972169940527	0.0313454311378475	0.0170235527185638	-0.164965657115405	0.070872636238004	0.0286070439596832	-0.105065242966739	-0.176481566675801	0.0879229792027489	-0.240687887907355	0.0135130975562685	-0.0787192368972449	-0.190644899299252	0.144695727355107	0.250664281459528	-0.103895616751261	0.0154736450340368	0.0753235031842203	0.103725644750878	0.195059613580991	-0.0804392696415822	0.0854619959198683	CTL_852	Class1
10	-0.208654153202096	0.405641466868211	-0.476283823596154	0.17941755337992	0.242819334834605	0.245281405618054	0.18872188315449	0.291888536250919	-0.289251730555688	0.528510755448173	-0.185053426522466	-0.292910768687009	0.327095090776254	-0.390342445011328	-0.344201519921504	0.338299691656421	-0.117133494703231	-0.413009171305733	0.0564980217452009	-0.242828619310494	-0.196503501626423	0.317471718877392	0.528558425117511	-0.162812144805424	-0.0695136199485041	0.334702419116956	0.132524054583757	-0.537022166319782	-0.225603138131094	0.483364246424176	-0.331905995892256	CTL_859	Class1
