MEblack	MEblue	MEbrown	MEcyan	MEdarkgreen	MEdarkgrey	MEdarkorange	MEdarkred	MEdarkturquoise	MEgreen	MEgreenyellow	MEgrey	MEgrey60	MElightcyan	MElightgreen	MElightyellow	MEmagenta	MEmidnightblue	MEorange	MEpink	MEpurple	MEred	MEroyalblue	MEsalmon	MEskyblue	MEtan	MEturquoise	MEwhite	MEyellow	Rows	Class
1	0.065317892154078	-0.210658455652914	0.317310078708027	-0.24491157476765	0.171732477952341	0.105198204511971	0.219144753847697	-0.0293785112668762	-0.247170749810053	0.13416155068071	0.232087920548039	-0.138735936428606	-0.189727316882321	-0.0446152039277795	0.24447701213301	-0.226975025933966	0.0616947889522815	0.208993322149231	0.0192493312523689	-0.0553493880055349	0.15728813267158	-0.0418130170311671	-0.282346479414089	0.355278348338087	0.0944073843710962	0.0361356473667663	0.0648653703586063	0.24484050333639	-0.117996143110283	CTL_815	Class1
2	-0.0938425318899193	-0.0261274141804755	0.155319369990879	-0.0901470743627579	0.0808963695182899	0.167515897414414	-0.255090702450067	-0.146141416433427	0.103415949821034	0.381772211183753	-0.0405515175783531	-0.207422510915272	0.355302043149375	0.0271287085019701	-0.0496031941097501	-0.224997135089379	0.174991010290407	0.150738620143838	-0.262252766388046	-0.121971199114055	-0.18063853201704	-0.143887607451184	-0.00874209230957979	-0.0751489927686195	-0.0454102267858328	-0.0895469284140847	0.104478218558285	0.151723094871845	0.0233536191999465	CTL_823	Class1
3	0.201054534420659	-0.0746071420990547	0.170134891485628	-0.0988083458817466	-0.23573743888444	-0.109336193053112	0.322761132923065	-0.0491683332469787	-0.176006546488273	-0.110850684036674	0.265265527010499	-0.381202088690557	-0.198394283408438	-0.104847998184805	0.344838233891716	-0.0387683020891802	-0.0528209084223749	0.0880258690685695	0.249843925146639	-0.00421759509140307	-0.00621196822414466	0.159626897134041	-0.196910601960656	0.0973282646862133	0.343502362864581	0.0309912977026982	-0.0474656996990406	0.296749813030618	-0.131434611265321	CTL_819	Class1
4	0.307806222356422	0.317233702271896	-0.184271578110971	0.234199783648284	-0.334944026199579	-0.202328998881489	0.31299814205566	0.345282906673891	-0.158710329825055	-0.132694754958953	0.293609991773229	-0.433116811730847	-0.205881527687957	-0.285636140252269	0.352980302605725	0.434210081381898	-0.362701499496504	-0.326901951327473	0.348921347359682	-0.19547145032444	-0.290877645594727	0.38148086144228	-0.0562994985503655	-0.308621527849957	0.14617983485785	0.357238116076782	-0.374160138171598	0.133901524706842	-0.341902474332899	CTL_829	Class1
5	-0.296452573864078	-0.0150734518426244	-0.0548640989445315	-0.0383560631329228	0.153179461682748	-0.30538557370868	0.0757320063039731	0.221299944383086	-0.0421239987104095	0.357069043113607	0.227670027613932	-0.0453801559184857	-0.0303064928982397	-0.122841865461902	0.265025205532531	-0.0199844640112141	-0.112769303319988	-0.056188069058553	0.159996660402501	0.295313510253851	-0.338756429111076	-0.0375521778781241	-0.283094446746435	0.368678481896625	0.468662498734207	0.288675591501693	-0.201672038661208	-0.216979010886242	-0.203804423572608	CTL_830	Class1
6	0.0244197813114925	-0.17614952242556	0.0316071704156616	-0.146229456734293	0.429303712377056	-0.165521347602723	-0.255363700733061	-0.219855490482817	-0.310808124789027	-0.163183055376517	0.0324088028640548	-0.198471479870582	-0.116851457700191	-0.142112059437206	0.305846195976176	-0.107840661445224	0.020681258609101	0.304040119066073	0.0913406472171908	0.212044202724229	0.14473286269499	0.169533427154362	0.0106599027671501	0.174681793613636	0.0527038631296605	0.233782626425733	0.0269510472251221	0.271785826735135	-0.0508877858528704	CTL_817	Class1
7	-0.107497668596509	-0.0294524198596542	0.152054280892714	-0.146366406844423	-0.0164608873661534	0.0269093893151451	-0.110572179780212	-0.146519087743222	-0.0424850917292666	-0.0362615636199191	-0.209015562721336	-0.0427081577754838	0.108012441011397	0.187613977845606	-0.141592888768424	-0.194091616012458	0.0367861028969	0.135287482086133	-0.0670798033361227	-0.0847211222923011	-0.0261140032245729	-0.23334840604786	0.156385694121378	-0.0753181433535029	-0.0364727163180196	-0.183110066337414	0.27671944966299	0.0577194556737912	0.163565820463268	CTL_832	Class1
8	0.0267127388731615	-0.117536462842378	0.144124028927299	-0.0949286388798627	0.193224497695644	0.0313657006288684	0.00340902159123669	-0.172976214786924	-0.137659827087445	-0.0204764498775185	0.104472554241754	-0.0518753672339526	-0.0580423643359641	-0.031451249558394	0.141165954791319	-0.075303416721595	0.124431235747971	0.114703088702839	-0.0704626545165696	0.0331739771448685	0.151180143521172	0.112302622596039	-0.0477655818497408	0.171242134492521	-0.143974397825581	-0.0385548747342551	-0.0329888613650739	0.130635819348365	0.0715864846462127	CTL_834	Class1
9	-0.0289381918974021	-0.109468256103983	-0.356826575502939	0.182786322054657	0.0131875128246329	-0.173248567729824	-0.064142253636806	0.015243751439586	0.315778902015579	0.342192289339895	0.145874245076963	0.153459011157006	0.116870191481758	-0.286029819140028	-0.0561136164194287	0.100375729983776	0.131700560060591	-0.0972738475451431	-0.156825146913512	0.311398085389138	0.033129931582635	0.0823365252065286	-0.193970410538396	0.0933134507825061	0.125430820422036	0.0710424735924735	-0.208008488956318	-0.204822345105026	-0.10774110507512	CTL_836	Class1
10	-0.0282231878737848	0.233941626094935	0.272653597804399	-0.228286872867268	0.117644117311949	0.33547742764965	0.0861772214881728	0.1982921531234	-0.144436967620321	-0.146078313982547	-0.1705359865176	-0.0357636437411676	-0.213503625463395	0.383341391785922	0.0854315089535439	-0.0992960749062082	-0.209628245560331	0.0315426141136296	0.256037744549278	-0.469044828215188	-0.229202956247597	-0.19044973482362	-0.0610227233209971	-0.102754252873922	0.137366804472937	0.0830917010142953	0.119171509266704	0.227990183464261	-0.222186348902071	CTL_854	Class1
