MEblack	MEblue	MEbrown	MEcyan	MEdarkgreen	MEdarkgrey	MEdarkolivegreen	MEdarkorange	MEdarkred	MEdarkturquoise	MEgreen	MEgreenyellow	MEgrey	MEgrey60	MElightcyan	MElightgreen	MElightyellow	MEmagenta	MEmidnightblue	MEorange	MEpaleturquoise	MEpink	MEpurple	MEred	MEroyalblue	MEsaddlebrown	MEsalmon	MEskyblue	MEsteelblue	MEtan	MEturquoise	MEviolet	MEwhite	MEyellow	Rows	Class
1	-0.174964325250638	-0.0925378421002576	0.108042213328792	-0.00602076997650604	-0.125273746456341	-0.0128832054374315	0.0294787339021857	0.105643202319454	0.157986961052505	-0.0176438731059012	-0.0160599598298408	-0.110088915430048	0.024173666653132	-0.000620552127992187	-0.0925376938123769	0.149582876653046	-0.0825912645190356	0.146936857839531	0.205389597020281	0.107632434616311	-0.0675022833087043	-0.051607534084538	0.0308706147617523	-0.0316620820310651	0.0773137386301199	-0.247446445562719	0.0371497853157591	-0.00909364578047429	-0.0538385812330905	-0.0113282366574844	0.122670620818936	-0.148374970463267	-0.00677159252683729	-0.0172243242944503	CTL_816	Class1
2	-0.176549253722131	0.192344573839234	0.189554796568807	0.140225954763893	0.24319605256583	0.0954137746790786	0.321306069796926	0.154519532349334	-0.0524350043772783	-0.0277757632833443	-0.202455233464236	-0.109343702904641	-0.093144483854272	0.136428847356503	-0.0261032631502329	0.18305972289662	-0.136447122861507	-0.113292875261863	-0.030964292270688	0.245434208273579	-0.123796414473625	-0.0817743571480298	0.0819378832397304	0.024800761276969	0.248372325154361	-0.171999133496275	-0.00421477711271068	-0.242336101278815	-0.0233760052906151	-0.286688043105823	0.0701473795134915	-0.210096519579289	0.324490787443802	0.198254580612684	CTL_846	Class1
3	-0.165813311886238	-0.101382987711099	0.0475346186477179	-0.0591360288274944	-0.150808431354296	-0.0282522217000369	-0.0155991579403332	0.157075045205384	0.0579614447405054	0.0531009164312509	-0.00863994470978524	-0.0229955668874673	-0.0324004582486172	0.0177170847818794	-0.121941363267789	0.1360842488097	-0.0088017635533465	0.0777045737894739	0.158027995881131	0.100782593759173	-0.0713109793048229	-0.012171690425105	0.0795717294021319	0.122591968418835	0.102095910907504	0.00567830135106114	-0.0890992715648217	-0.0590863713650497	-0.0682104635896535	-0.105026114453258	0.168799997963676	-0.00456773238308544	-0.132363922460163	-0.0956057045495164	CTL_820	Class1
4	0.231830880808271	-0.359332116458384	-0.182651508836744	-0.145940969657862	-0.223261835629751	-0.22869311498216	-0.333110840867075	-0.0331158613603915	0.0366403599599091	0.0496600635191255	0.353463143275635	0.0620060817448383	-0.213972572765122	-0.411608050640669	0.0777420063087815	-0.236148479807491	0.270974625058236	0.224488462956175	0.0775600125747599	-0.292206728175904	0.28067154506299	0.223987357420691	-0.119429910910121	-0.0563457802020096	-0.260303565942236	-0.149536249953824	0.0923194749363183	0.0948239998707476	0.268598017868669	0.247090138493393	-0.128645526319265	0.326241384831316	-0.230925295175353	-0.0147378316397029	CTL_844	Class1
5	0.177524048916389	0.308859065888125	-0.0715163089657614	-0.13312025561809	-0.10000836536751	0.205283880781724	-0.281114832292129	0.074012151712494	0.0347515181236109	0.061279408041741	0.090201076241467	0.308112376184352	0.138497402897424	0.238037313250266	0.130767572377209	-0.236203492346704	-0.140058829442218	-0.179132013225146	-0.160767646743583	-0.211110120005678	0.146827661776372	0.0660745212652732	0.0990101583219138	-0.0643908184153844	0.0493544640998881	0.167699373251645	-0.102920995386924	0.0439396431617089	0.0829339108321131	-0.0872288567090915	-0.391438960429655	0.229592517981119	0.21310232467066	-0.0767725772369228	CTL_845	Class1
6	-0.101533891603117	0.0735718886533182	0.15308439756433	-0.399717746147909	-0.410798502215954	0.117929498925644	-0.304005856275566	0.309395030819654	-0.136716476933801	0.0361099542927661	0.264500047931838	0.16198794868917	0.284961770519307	0.389467551787713	-0.317021175386405	0.230589664559896	-0.360235136883918	-0.0360455161401361	-0.0408235698512675	-0.148336132528851	0.124525610753819	-0.00723712391316638	0.257801409478087	0.296284266108235	0.33858260429001	0.00557992480491018	-0.230663200929942	-0.19180146810601	-0.184546914821759	0.44580570287989	-0.0874314608786808	0.280476709290306	-0.0999235355049802	-0.129642637296352	CTL_818	Class1
7	-0.083075456612589	-0.22866451105226	0.117941889457555	-0.277431587501846	-0.292857677445284	-0.00134320437104806	-0.154647149573868	-0.00289342409584149	-0.220313611835208	-0.233702881712876	0.0615690797246306	-0.273194295661356	-0.391863610914541	0.223722057911215	-0.389765200571684	0.0520573411955106	-0.264376159037035	0.0792853395659492	-0.115839805904123	-0.0305878925229354	0.339546336269579	0.11507603747691	0.284457380643761	0.493204307141433	0.142762269632217	0.14419278133365	-0.168208040616554	-0.206333559095216	-0.276681906360723	0.178990527759433	0.194605586916445	0.0942187004424544	-0.0574676283859572	0.0121485374629966	CTL_848	Class1
8	0.155368252593992	-0.307194645558804	-0.122278361309288	-0.0664078064098956	-0.135134432689691	-0.183351389906175	-0.0770321613633095	-0.18593030603304	0.15612778908345	-0.249260232536403	-0.00468027144835053	-0.175178341969075	-0.0716665288027697	-0.0380225703039895	-0.0869421056641946	-0.195131468541728	0.079230211355371	0.0959753267581966	0.143350141023296	-0.110725172546907	0.0794729529449304	0.0578658333488651	-0.0916209829722032	0.0222517115337555	-0.283489760909008	0.248058708333011	0.0358620051771857	0.279941810787838	-0.0928218737345268	0.0217608042833947	0.136400201319318	0.029704144016032	-0.290426846968407	-0.0413221556458521	CTL_850	Class1
9	0.231247610964532	0.0169521334192626	-0.197543505539326	0.0436478586142576	0.00736608714987429	0.0672856589899793	-0.092070544969764	-0.311359765301588	-0.0181945990123015	-0.0609002399524335	-0.183881658353653	0.0578149558477019	-0.0225503041485146	0.0876869546546235	0.129631477317352	-0.155893720582569	-0.0720865613327364	-0.154682834864362	-0.229455666088809	-0.146120924647377	0.114679298589803	0.118668132451124	0.0703314551870535	0.0518784696623827	-0.0407692387133499	0.239630087363073	0.0340789434877637	0.0783331645495234	-0.0278560780073124	0.0574223888790312	-0.0697664375131198	0.0253837407831569	-0.0474283664510852	-0.00409119704524798	CTL_852	Class1
10	-0.214048348087496	-0.246880868384731	0.28294482137671	0.123433003358082	0.342971682687747	-0.355886056589779	0.280722566656087	0.00572136745404632	-0.112459602309087	-0.338825488777303	-0.0675386200491575	-0.374581626145376	-0.234122667785416	-0.363813572607846	0.0255874117395987	0.0915090399464825	0.343703829716055	0.404909233325223	0.0286699402224366	0.279298519739152	-0.350047510529532	-0.423257368701285	-0.440138185894463	-0.359990646832595	-0.193865741483814	-0.245306833446764	0.509442041762169	0.196202818020565	0.129599907766937	-0.515374335080828	0.373698645633636	-0.379706757333872	0.370123587530703	0.526862680283694	CTL_859	Class1
