SZ-811	SZ-821	SZ-822	SZ-809	SZ-824	SZ-813	SZ-831	SZ-833	SZ-835	SZ-856	SZ-825	SZ-826	SZ-855
ABCA8	5.85017618492307	6.84657496031467	7.39847798186955	6.69593170305264	6.63442734064188	6.36121185376467	6.27598569830765	5.54418495980033	7.19652253952592	6.22496775487722	6.27423174610555	5.04363423578279	6.31451966528305
ABCA9	4.68096708173695	5.10458056373753	3.90944433328056	4.54951959735196	4.65639909484718	4.74639118356973	4.3849836152097	4.19687198132407	5.22588782999625	4.32034319014707	4.36906586530055	4.65862635922997	3.95061020410097
ABCB1	5.19766288685367	5.49627161100075	4.93534025533149	5.27856422623574	4.99054795585608	5.55081640872697	7.15046811311856	5.19875212941228	4.95316439682483	4.63589550004416	5.51853363504895	5.17645167004688	5.07468649810792
ABCB10	4.4576663318685	4.46077306968624	4.43339223764272	4.64527637743086	4.48712522776846	4.63259842207616	4.30050005868157	4.32480261766822	4.74476358135581	4.2536375038926	4.67480775784799	4.60932340263657	4.26994267660441
ABCB11	0.870384900759733	0.93534739167641	0.559820630338074	0.457847383953901	0.576978554309522	1.13929001571748	0.235479428412499	1.78125571392227	0.398868261114271	1.16985394474289	0.29867765333678	0.624036126224031	0.503645268765541
ABCB4	0.921774559392699	1.34640214439914	1.1791936547812	1.68286752904309	0.894268187497598	1.00551728290386	1.2171256177952	1.35571432130422	1.06623220070967	1.2024409248973	2.51739687170008	1.42912713603281	1.34848704169486
ABCB5	0.000935266058927246	0.0455705189286758	0.000935266058927246	0.0232016589456266	0.000935266058927246	0.158634242438582	0.114250999169983	0.0842491442931667	0.0721969466042361	0.0232016589456266	0.0587391132426367	0.181228027751704	0.0232016589456266
ABCB6	0.0232016589456266	0.0600014933856712	0.11171307114433	0.135099765665958	0.0232016589456266	0.0232016589456266	0.0809601033958367	0.155141036139079	0.00651349544007797	0.064572598582117	0.0451144174891895	0.0232016589456266	0.103974170943491
ABCB7	4.66729379068383	4.71597520772277	4.9627142945664	4.79599361539101	4.67401652046632	4.77353239471599	4.16607676457617	4.53083471095329	5.17984850819666	4.54367203126974	5.05720158001785	4.36185420935933	4.34024018536425
ABCB8	4.84053563432321	5.41653616242463	4.51365322383291	4.94093563055313	4.86591352743337	4.76350490610961	5.12310568770551	4.93964773995399	4.52842677052603	4.70607062429684	4.77481909156334	5.3983891350551	4.55414431382337
ABCB9	4.50719953905298	4.82514544468416	4.28138140900291	4.6795695280904	4.79499993787716	4.73108350943246	5.19911268183136	4.7951089596817	4.7190068673029	4.80575246455372	4.1303484324274	5.2260018022968	4.82204917094848
ABCC1	4.84238136898451	5.19611954342603	4.81203189849724	5.06989948005887	5.03941336925823	4.90524883993256	5.31944294962398	4.95359812452604	4.74363052470337	4.66900073519148	5.16912092230498	5.60973570736533	4.55260198903222
ABCC10	4.07761076093797	4.27560395323318	3.8246550756451	4.03642148214184	4.21092614056681	4.06066143676626	4.53259171280563	4.33812562201577	3.84748645382919	3.75954590603061	3.7998656851122	4.7118023813019	3.86513588322979
ABCC11	1.24501669426372	1.36616380094319	0.967116794253366	1.14946340823239	0.942397918338652	1.24635130528005	1.4127997133053	1.2559379234925	1.36478424828446	1.40207660636461	1.16135262641428	1.56069259713863	1.09324683636782
ABCC12	2.92162153319272	2.57684364996902	2.41217751086355	3.40922868131776	3.18172067845827	3.47255319103053	2.81138384379971	3.53556569126917	1.97299539700501	3.19633195952758	1.07393626380355	4.0948212265402	2.59828153482625
ABCC2	0.752448999070304	0.852430674330624	1.09966719241612	1.27909931177409	1.13074352118649	0.731007463057749	1.40044674916473	0.959278221895161	0.947674798428564	0.94338970992482	2.25887201305321	1.12901640385397	0.950640370802847
ABCC3	0.622728901745044	0.456528479136534	0.774696019728876	0.604913201144515	0.346993895535443	0.277834460057665	0.255152054969996	0.487016461103879	0.811836603245245	0.90464782936843	2.94717995511463	0.218951271224286	0.255152054969996
ABCC4	5.45676834087427	6.23976166635653	5.63940772630863	5.166697593101	5.0497662184864	5.46256575800711	5.79960809682267	6.17074371362335	5.49862532765183	5.65583324336868	5.44328551391555	4.40619986102645	5.72572783361412
ABCC5	6.60102021413492	6.54945702306646	6.37308649626368	6.77790096486252	6.61850261084006	6.67238895466991	6.89857415054844	6.56668367789191	6.72036625660287	6.46271988935436	6.20039126385009	7.04670145673258	6.46856897746986
ABCC6	1.03459970172258	0.977074098673666	0.931110515434817	0.709140544581181	0.942397918338652	1.03118571038453	0.357507884103544	1.33351916151289	0.574113437345818	0.671993420962279	0.549446005948229	0.686120344252814	0.786950704173358
ABCC8	5.53924368917081	6.17547602559057	4.66126525582615	4.63853135625601	5.29350161939028	5.24767356807103	6.21249642040073	5.28047268161828	5.3378940549358	4.90038944522131	4.4110027505078	5.89551491422826	4.9357045697468
ABCC9	5.47402561185901	5.34028857063767	5.59064776820153	4.26880774978084	4.85248233653418	4.95491193803335	4.0221116258298	5.30862023785191	5.10938982561499	4.85103065529183	5.27118413841286	3.76927631539927	4.62448529609236
ABCD1	2.01629154285754	2.52295179889033	1.83221973699571	2.40088918846187	2.11729948292678	1.96095930292846	2.27286359684453	2.32047961961148	1.77522627100729	1.74417178600743	2.93680236132344	2.52537609620637	1.99390300775138
ABCD2	5.34345140765874	4.64266665479898	4.45232622117944	4.61057526093433	4.56249092617111	5.08885779083908	4.39850598782218	4.80663297183667	4.8536277421525	4.97369487940335	4.5242379147595	4.46628669737247	5.30911594320522
ABCD3	6.21397588893093	6.40478142478866	6.47872772226401	6.38239689364685	6.26157291081264	6.39421733975622	6.03438483693055	6.2805682591116	6.50274634163087	6.31888840543423	6.53611683814861	5.91956300766382	6.47855037101943
ABCD4	4.16693336339484	4.60801958708109	4.61029839713397	3.67768901365699	4.22327560496873	3.83473988233272	4.46660359290534	4.30724538256769	4.38616997849761	4.29747030131587	4.74260198076486	3.12926699286628	4.01372645208355
ABCE1	5.69852545851202	5.8881355058871	6.11946186002703	6.00887801137119	5.7836370814043	6.19002611100748	5.32108671638166	5.62959880202725	5.73353063221053	5.94274323905482	6.20294902396579	5.70280477810388	6.32989452821376
ABCF1	4.9082185100543	4.88829293888421	4.85847624140048	4.84107895544698	4.94368840016791	4.80412750230848	4.86355837980491	4.65513434735805	4.74260198076486	4.94045473094845	5.28546129685574	4.80286553271835	5.15733584849326
ABCF2	5.21051002641564	5.1247078301622	5.15754616456813	5.19890269667046	5.17220874245105	5.22037166376927	4.97949385862985	5.25609649730106	5.07296086266129	5.3858148444926	5.48752495008744	5.24682188907199	5.53837808429077
ABCG1	4.92261132269985	5.53729688139102	5.28562788961741	4.48881970141235	4.95359812452604	4.51680691350757	5.85104587104979	4.7133960409245	5.53657596700101	4.81363068031996	4.10453829765563	4.3293434691505	4.75580469673918
ABCG2	5.42756330491557	6.07583140846521	4.369464235921	4.76802961319095	5.25372452484311	5.58085294266913	4.17156368094507	5.45578700049846	4.9413721262809	4.84747392243384	4.91021988398488	4.51343878120175	5.47371495925785
ABCG4	3.13554306627114	3.1198407402598	3.43683926914111	3.68867755164858	3.59832620576925	3.78026268068622	3.70452212238786	3.49357427938096	2.77737828879357	3.50462173516412	2.54107952608926	4.37565526543255	3.53365492905295
ABCG5	0.235479428412499	0.517889579567125	0.234679065781639	0.412478531724168	0.511152471107157	0.327226874605158	0.235479428412499	0.195326846366067	0.664874197498559	0.20625437231415	0.155141036139079	0.83407703884114	0.193721810898793
ABCG8	0.995046298789347	0.829590313378356	0.674693367065951	1.36037576810969	1.0748919145292	1.32017089417393	0.841823202398951	0.915853943034253	1.30402838353426	0.891349306959328	0.419001711821367	1.96516173953742	0.52167924408987
ABHD1	0.848803544465646	0.98784150959739	0.691586642565623	0.58976779479269	0.714848799784423	0.445890238808458	0.397190235043788	0.54535568421569	0.749362203940093	0.631929640451674	0.433660457454811	0.4899922374882	0.746247901096422
ABHD10	5.2505827997691	5.03421999426117	5.11385955045657	5.2102978849755	5.13465746208904	5.4047078754255	4.74311419477256	5.00315279566623	5.18975683171661	5.62592342516904	5.21432876767917	5.02418491039044	5.77607542400387
ABHD11	2.23358343783934	2.40001986630968	2.14508671412116	2.26054620604675	2.28623722989176	2.28274185721822	2.25474888448715	2.49396135847251	1.98681994599157	2.50685924861889	2.36667840107738	2.27286359684453	2.56959141241239
ABHD12	6.05800331914734	6.46673947064231	6.75033157757299	6.79765905834461	6.85911151158575	6.89760131916355	6.7712546619902	6.7712546619902	6.15169456363383	6.17229074248041	6.23803304904929	6.88859709477703	6.8032218548856
ABHD12B	1.96682449718859	1.11328849589324	1.56620700089497	1.18823908812262	1.47779034095346	1.77625822698279	1.39042956847649	1.11699190572708	2.50501694125304	1.80888750488198	1.27865291378405	1.67431691597403	1.67431691597403
ABHD13	4.62019424531015	4.0376259579968	4.81203189849724	5.42481496778121	4.86591352743337	5.2851289095811	4.51102503314114	4.37448767770364	5.03709393754917	4.95131565984966	4.78864857391377	5.09744742096428	5.08748193530462
ABHD14A	0.604913201144515	0.386852240395257	0.455889416078857	0.692730725158136	0.417693450658504	0.748797891578859	0.728879926353164	0.739363870383955	0.516606748483443	0.445890238808458	0.199275848450485	0.904138271813741	0.713172542647477
ABHD14B	0.712082559087143	0.90196607930028	0.90196607930028	0.709140544581181	0.675596269961597	0.850054986152024	0.728879926353164	0.860594344469459	0.83733319544536	0.774696019728876	0.748797891578859	0.4899922374882	0.774696019728876
ABHD15	1.78463210108866	2.3205777146503	2.76331272621429	1.7309718336578	1.86499132214318	2.0442009111648	1.4127997133053	2.20497147033262	1.82441239096077	2.16929073600071	2.19040630389902	1.50888483459674	2.05824317808688
ABHD17A	5.68761759954342	6.06804431275738	5.62030099343534	5.85580835187587	6.00171150261146	5.50625111635877	5.84096963878203	6.58840601189127	5.34653923747012	5.76869263066937	5.99609491639773	6.14966331520409	6.14111590229276
ABHD17B	5.57023137856827	5.85484989495539	6.30823824211384	6.08912893087559	6.05800331914734	6.0546019188363	5.78161596806808	5.22687936857551	6.23947809005983	5.91376898389421	5.7997924058132	5.82909120354376	6.00020089498348
ABHD17C	4.42694196378673	3.945551919392	4.29380716614249	5.09744742096428	4.47620150938264	4.66705178702259	4.91739082405868	4.58080050654915	4.40052774588081	4.60537976354009	4.74496213666231	5.08209356489629	4.36992583798135
ABHD2	7.80072687156784	7.90960685272161	7.58200838982038	7.81824269816461	7.83619661833381	8.02355051938548	7.97145599716233	7.92204506993296	7.46148780661608	7.96012685841626	8.23119962152364	7.98026500318781	7.7719980602365
ABHD3	3.87457125734392	3.56172892710068	4.05508202621027	4.72112371083569	3.28205316858384	3.78354799542157	6.06974715380512	3.7819442042808	3.48565635833621	3.9228689724645	4.0493642116212	3.6565840653101	3.76879804227767
ABHD4	3.15580895864391	3.13533066151228	3.04828717093292	2.79505079154903	3.00232185781467	3.01577175753676	2.92325999413163	3.09270380003532	2.99106543279701	3.11161812450972	3.43952740397985	2.53572399719716	2.98462158633442
ABHD5	4.75655056386978	4.67330742101655	4.71355630732091	5.07788822816917	4.85817942244536	4.96460174586986	5.11902912359688	4.52756009615363	4.94947979254912	4.70697916897496	5.49681158156527	4.87813863446822	4.79281803428579
ABHD6	5.57546054561722	5.9581127266427	6.25116425537671	6.46106148325742	6.31383623179824	6.56227818404553	6.38487376394296	5.89196233042648	5.76726301595859	6.02544381520533	5.82284053970293	6.76406633120822	6.38335038466217
ABHD8	5.03893208661696	4.5920041913208	4.8833499156648	5.00744304830725	5.32454305182728	4.92705655877278	5.21845157275984	5.61631246272874	4.6514544427171	4.45647038175249	4.17671392242699	5.51348894845241	5.14141878429811
ABI1	7.07879468681539	7.24987109456602	7.31200184288989	7.71374297738038	7.35881569164296	7.74797715752177	7.24254363879048	7.42569518815172	7.2111966048932	7.26013621803685	7.63099055560666	7.50668148658232	7.61452405601332
ABI2	8.4739744184431	8.13101217461263	8.24216052004964	8.7679630553298	8.4775630975553	8.59533726652468	8.43630912027093	8.48210061352078	8.29297150495669	8.58705680445379	8.02027616700241	8.54473571551872	8.61814745718803
ABI3	1.82047707873458	2.33018627698701	2.14508671412116	1.34201556174284	1.1854332406036	1.31039774737488	1.01893248351597	1.94642932670076	1.8912069414835	1.46512473023729	2.77709234322561	0.457847383953901	1.73524283000102
ABI3BP	4.41525986294162	4.68983995173348	5.03908278114709	4.369464235921	4.49207185370358	4.39114749469167	4.06206395100174	4.58306643395601	5.09782672281427	4.56870462637657	3.99338161647064	2.96013016213269	3.92881145955657
ABL1	6.26419685811016	6.68675470716758	6.50679336749798	6.58425552908172	6.53309020100105	6.34069904741914	6.77071573201628	6.48145090206691	6.40196816987627	6.12531608049551	6.60960083137134	6.818939520347	6.09943656347416
ABL2	6.62631040895739	6.77873538248108	6.98396899891323	6.9865223499092	6.877833953941	7.07941460910911	6.8457772579118	6.74524880339106	6.7510146436163	6.94406892389141	7.13511257121692	7.01087557032696	6.93816216752927
ABLIM1	8.19720437809875	8.14157225877309	7.65875574179706	7.2659877324988	7.66866533140112	7.54887901694884	7.64427959431392	8.03488604407656	8.07551584876422	8.28715043919585	8.40703791997873	6.95271632171336	7.70849446295131
ABLIM2	6.30923509477903	6.02973516183018	5.18299353960133	5.13190977291151	5.75885972370011	5.19983976965673	6.56992977145086	5.79149012982216	6.45894141261557	5.76122778859949	4.60276128157745	6.29057069748018	5.45753366801571
ABLIM3	5.87016931210237	5.59116643144299	4.98338936554116	5.31270802995112	5.38398294092872	4.87216803569818	5.94393875759045	5.46972675021801	5.20109462601761	5.53031187735212	5.77364964978761	5.40564621127267	5.17700575587083
ABR	8.99888985850042	9.11042284407441	8.36784345547504	8.46981928189802	8.77512820376046	8.48677039078651	9.0384528602284	9.23137885318955	8.23219251848175	8.69427413467735	8.33936166429509	8.74192563962459	8.85588729699445
ABRACL	2.99967625876472	2.63776351889621	3.41538388050379	4.00970717571381	3.52201059325632	4.0155083020403	3.66153208042593	3.85935012773544	2.8811775408074	3.34997419093555	3.07357260183565	3.92845619457894	3.8749304790046
ABT1	2.55521888169603	2.35069670122181	2.71146105064481	2.75302425858821	2.92353725722376	2.90639170013661	2.58173577857369	2.75315206941366	2.68646814633012	2.82648002967526	2.65073694400151	2.90201516262525	3.1612935768803
ABTB1	4.28792407388735	4.68855148964065	4.25286900128796	4.3469379002423	4.53296096586071	4.36906586530055	4.60699776172191	4.66807159708083	4.223598475197	3.57130078409132	3.24021490466732	5.50040177307747	4.44247918408316
ABTB2	3.74678249584394	4.87704507665398	4.24014364045383	4.66258251618472	4.92677141965985	4.36302862832368	5.62686758814723	3.80782803304246	5.1982685899546	4.19168395530246	4.71496834703037	3.63644372154209	3.88338771571217
AC002310.13	2.07370693206845	1.69747790291395	1.86586378137505	2.63839524156293	2.34103988784277	2.21705502899683	2.37767082794408	1.89231459658499	1.99390300775138	1.62948866884841	1.34201556174284	2.99690855265069	1.55800409664886
AC002365.1	0.0232016589456266	0.308458343325514	0.11171307114433	0.156981396433287	0.231296710085365	0.187654814020249	0.0451144174891895	0.135099765665958	0.0232016589456266	0.0232016589456266	0.000935266058927246	0.218951271224286	0.0792025497627802
AC002398.9	0.889418794518809	0.533880048126447	0.748797891578859	0.814711655210496	0.660218719479211	0.97850172993067	0.335362374589143	0.656346607302876	0.735021777425989	0.90464782936843	0.813145838124816	0.457847383953901	1.2024409248973
AC002472.1	0.921774559392699	0.977074098673666	0.931110515434817	1.13648835539994	1.02575065978599	0.866591706509407	1.30515526531131	1.38647807064308	0.829590313378356	0.731889841544494	0.55913469855859	1.89437373726357	0.878594884003829
AC002472.13	0.947674798428564	2.47774727695869	1.41143727356607	0.802701553809509	1.05602352027097	3.10581682983913	0.485519332711879	2.180277882952	0.369596890284125	1.32626140425989	0.315234262874304	1.657969215376	0.503645268765541
AC002985.3	0.327226874605158	0.551350135599133	0.435193821588679	0.62136390831525	0.487016461103879	0.53837217817101	0.578325770787884	0.599155563512609	0.453893914953644	0.555117114197793	0.410896005732228	0.686120344252814	0.668959042873738
AC003002.4	0.58909841267906	0.308458343325514	0.717742982275974	1.20449755315565	0.767015792439151	1.27766257515841	1.09822722081353	0.617654905632537	0.811836603245245	0.536206063972514	0.395512208973306	1.34201556174284	0.93534739167641
AC003005.4	1.6123296076832	0.883338421654816	1.49638831464361	2.06364592731024	1.71073073598181	1.76959186262143	1.24635130528005	1.26442864053546	1.83101130602766	1.67431691597403	1.14946340823239	1.99148774773528	1.78529319473283
AC003006.7	1.3925973287691	1.48330421359889	1.03502065718566	1.41841513529868	1.25738440223058	1.17131140387368	1.44008013379488	0.802701553809509	1.71455944000483	0.995964767352108	0.954957051757217	0.904138271813741	1.04920142885409
AC003101.1	0.277834460057665	0.456528479136534	0.559820630338074	0.58976779479269	0.511152471107157	0.235479428412499	0.679122845175991	0.599155563512609	0.256945052472557	0.256945052472557	1.27865291378405	0.260307400298879	0.317381171793354
AC004076.7	3.43208100126321	3.1019236836002	3.18225902585339	4.45545977527791	3.92622647291019	4.10099369891113	4.06814769930089	3.12413378037165	4.07001391026015	3.77704577333958	2.7572281351222	4.41944024161336	3.67354390209669
AC004076.9	4.06620858891342	3.72644039724895	3.94324001858683	4.61574856830674	4.4235708052281	4.61211197060203	4.34991030715699	4.29626470828767	4.30246759125349	4.37072915840275	3.68017540353294	4.70681662397032	4.31094465873771
AC004381.6	2.00897623744818	1.7904762133136	1.54871273635725	1.44008013379488	1.56995426377183	1.41143727356607	1.68411725520968	1.29675546806945	2.38433331215602	1.97299539700501	2.10595640863688	1.69944018458479	1.83155467628298
AC004466.1	0.816742315793602	1.11328849589324	1.00507740000976	0.62136390831525	0.954957051757217	0.731007463057749	0.762903200049674	0.889418794518809	0.91296918132931	0.862342110344203	0.801662717205714	0.717139158833599	0.668959042873738
AC004899.1	0.256945052472557	0.219983345053172	0.086168680301648	0.156981396433287	0.173622255975739	0.613395836214737	0.235479428412499	0.11171307114433	0.235479428412499	0.519967477126132	0.0982981714318314	0.0232016589456266	0.485519332711879
AC005003.1	1.49371178324503	1.43251308259226	1.2314202500243	1.33210809651986	1.77310128734165	1.59123609252726	1.55204610401998	1.57923678102224	1.47164267616719	1.09966719241612	1.04548179928942	1.99148774773528	1.77576677875565
AC005082.1	0.235479428412499	0.158634242438582	0.320165076800427	1.44666793810214	0.532242360715877	0.866591706509407	0.712082559087143	0.473070568362452	0.49873106374839	0.187654814020249	0.369596890284125	1.28409885213041	0.449106117484994
AC005609.1	0.135099765665958	0.181228027751704	0.13595568452248	0.27544384736478	0.11171307114433	0.410896005732228	0.114250999169983	0.256945052472557	0.277834460057665	0.335362374589143	0.113416699411487	0.754142857050355	0.297910487630517
AC006116.20	0.156981396433287	0.0455705189286758	0.086168680301648	0.0232016589456266	0.137633520096052	0.135527725094219	0.000935266058927246	0.0460266203681621	0.135099765665958	0.148914472766024	0.0783122999794604	0.181228027751704	0.173622255975739
AC006486.1	0.156981396433287	0.181228027751704	0.320165076800427	0.412478531724168	0.29867765333678	0.429553187441805	0.297910487630517	0.217399344539793	0.277834460057665	0.224794214982116	0.0451144174891895	0.30149851847845	0.231296710085365
AC006486.9	0.483840638889381	0.712082559087143	0.511152471107157	0.760987296626263	0.767015792439151	0.576978554309522	1.23731754106894	0.63042516505794	0.765115953185982	0.395512208973306	0.279571332656533	0.656346607302876	0.613395836214737
AC006538.4	2.46593055374201	1.6310428155552	2.1025479893369	2.68360199208176	2.81824199647917	2.45604331851724	2.63107981642442	2.83949900141295	2.17663354227197	2.41393744239871	2.67008068516835	3.31362854940099	3.02274752147367
AC006547.14	0.182824609260602	0.260307400298879	0.187654814020249	0.0686709323577274	0.137633520096052	0.0842491442931667	0.217399344539793	0.11171307114433	0.109691428736358	0.107971560107564	0.113416699411487	0.30149851847845	0.255152054969996
AC006946.15	1.18990071266771	1.12901640385397	0.691586642565623	1.78327968096033	1.09067390194259	1.37408825404648	1.36943305548946	1.00846299913954	0.990919538075254	0.709140544581181	0.517248164025284	1.90613617999872	1.21898872323042
