Gene	ModuleColor	kWithin
160	AC069368.3	lightyellow	1.23140323717559
161	AC073343.1	grey	2.77429829629704
162	AC074091.13	magenta	2.02074886272884
163	AC079341.1	lightgreen	2.04429609800844
164	AC079354.1	pink	1.32432091303513
165	AC090616.2	turquoise	3.12976185078105
166	AC091948.1	grey	2.63265270374437
167	AC092675.3	lightyellow	0.807493797830021
168	AC092687.4	grey	2.49463113914805
169	AC093802.1	grey	2.65298620833029
170	AC096677.1	darkorange	0.999370826580933
171	AC103801.2	grey	4.27532712687924
172	AC104532.2	grey	0.882876497195721
173	AC104534.3	yellow	16.7770808419319
174	AC104809.3	tan	7.75377987651294
175	AC104841.2	turquoise	6.56314048575436
176	AC105020.1	grey	2.7645368142597
177	AC109829.1	grey	2.36783425842522
178	AC110084.1	grey	2.92813598110435
179	AC110619.2	grey	4.05787585889918
180	AC110771.1	darkred	0.785211786275003
181	AC110781.3	lightcyan	10.7040490797349
182	AC112205.1	midnightblue	0.67978823341261
183	AC112693.2	grey	1.57554157353035
184	AC117395.1	purple	2.02646450236456
185	AC119673.1	turquoise	42.3198160926368
186	AC124890.1	brown	3.08575229412814
187	AC129492.6	pink	1.67944830118909
188	AC131097.4	grey	4.50962669803187
189	AC132192.1	black	4.22577210243726
190	AC135048.1	yellow	1.64536955221866
191	AC135178.1	grey	0.978456226514063
192	AC137932.1	turquoise	1.27126985955915
193	AC138655.1	grey	1.58575776959921
194	AC139100.2	yellow	16.5230049377049
195	AC140061.12	black	3.53251642564455
196	ACAA1	red	6.21338797320249
197	ACAA2	red	5.41168618677845
198	ACACA	grey	3.77634389606839
199	ACACB	blue	4.36105537394102
200	ACAD10	darkgrey	0.650631851407177
201	ACAD8	grey	2.1497211831413
202	ACAD9	magenta	3.02996907211895
203	ACADL	grey	1.31193837337901
204	ACADM	grey	2.39686111443954
205	ACADS	blue	14.7817305506044
206	ACADSB	darkturquoise	3.07373605485022
207	ACADVL	grey	5.47763929374971
208	ACAN	darkturquoise	7.21582125482875
209	ACAP1	darkgreen	0.985166083517885
210	ACAP2	midnightblue	2.79052275478936
211	ACAP3	green	14.5919584626293
212	ACAT1	black	0.584091888842058
213	ACAT2	grey	7.09438325223065
214	ACBD3	darkorange	5.11362308061963
215	ACBD4	darkgrey	7.00624479992793
216	ACBD5	darkred	5.3402863041666
217	ACBD6	brown	12.2088873552914
218	ACBD7	blue	22.6543274241986
219	ACCS	grey	2.16403583821234
220	ACD	magenta	3.56454528401966
221	ACE	grey	2.92452136126912
222	ACER1	purple	0.625822836165226
223	ACER2	grey	3.32887064056401
224	ACER3	greenyellow	6.5859230807547
225	ACHE	greenyellow	3.48108295099859
226	ACIN1	magenta	7.09268586169264
227	ACKR2	grey	1.99024952215483
228	ACKR3	grey	1.16734221025721
229	ACKR4	turquoise	24.1897190865201
