MEblack	MEblue	MEbrown	MEcyan	MEdarkgreen	MEdarkgrey	MEdarkred	MEdarkturquoise	MEgreen	MEgreenyellow	MEgrey	MEgrey60	MElightcyan	MElightgreen	MElightyellow	MEmagenta	MEmidnightblue	MEpink	MEpurple	MEred	MEroyalblue	MEsalmon	MEtan	MEturquoise	MEyellow	Rows	Class
1	-0.234490473734878	-0.0565187355724203	-0.0330620722704782	-0.0289989709248864	0.202338697653463	0.142249732152125	-0.158776435777865	-0.0317885223544167	0.0836973408740969	0.136775662197915	0.0586994897055464	-0.204165768103066	0.0791083709903331	0.0738570980760739	0.155066126239946	0.0257036084797972	-0.0874606653701961	-0.0824220835047979	-0.13627683507945	-0.13831821573622	0.0256610400091181	-0.0186776772582676	-0.0406059042110418	-0.0451456954988815	0.0148535854614981	CTL_874	Class1
2	0.328772409702998	0.281169495764797	-0.223556878093757	-0.117684604997592	-0.170229963834196	-0.299880181098259	0.39767563106593	0.0715933551004495	-0.136554740480148	0.203695154452078	-0.117171109877797	0.234188962419046	-0.301481824939427	-0.103778265547159	-0.478667746983756	-0.0388142088178994	0.449425957209826	0.133117327143769	0.476206500590714	0.257795025702982	-0.359260662788265	0.336974694070524	0.481098188439978	-0.318781143473835	0.22608981665218	CTL_880	Class1
3	-0.184801203286038	0.200687034175987	-0.241809794560188	0.225554501397554	0.0114380463621648	0.18370820016804	-0.185405004644365	0.252058345431289	0.250764340386202	0.234001908137638	0.0160383094234046	-0.201552964869989	0.161750205111006	0.0643838504348969	-0.223510611214769	-0.2030573092987	-0.158821281321406	0.0880657944782341	-0.0326408445186923	-0.2472057578042	-0.0985266874336921	0.203285178593091	0.0543441978161621	-0.152635485739789	0.197841645223534	CTL_875	Class1
4	0.32383320340254	0.143705286694199	0.105139481872261	-0.03457399878502	0.329748065539054	-0.086076838034171	0.0704057719059888	0.152782515652017	-0.213359816013927	-0.224759262840398	0.15243686537039	0.0591734410845819	-0.333355060881778	-0.138018040865569	-0.0733347060648333	0.123658672692975	0.188730350340223	-0.27795841311142	-0.0778057459437446	0.166531394170166	-0.12085707686618	-0.101222900152172	0.051936942110062	0.0872495747335377	-0.219387367456334	CTL_878	Class1
5	-0.0334333477339567	-0.157960497910957	0.116472148130977	0.299059632325828	-0.296571570457714	-0.202863909544806	0.017457937965687	0.0147788329894771	-0.0761619474412037	-0.207942527365427	-0.250853523727987	0.111026740837147	0.0458877380971524	0.0230584422531842	0.235528887040023	-0.0665297454734799	-0.108399618617627	0.244032268717772	-0.0268110962981712	-0.0914626330886442	0.310929189214033	-0.0518521425815868	-0.0198127802600313	0.192386919083565	-0.0114919408241459	CTL_879	Class1
6	-0.00395751872941837	-0.30683816572525	-0.0420368520334884	-0.297696414633423	0.0765546995092042	-0.224536915268186	-0.0440170804751067	-0.133826785096509	-0.0653272916769567	0.183750559953296	0.0275957630863968	0.154288214083657	-0.0696818004298535	0.317086660097546	0.155942711579513	-0.0868599838324004	0.0354989573689392	0.122915710757162	-0.115199838878643	0.275502398066637	0.155534012100414	-0.0862507847536351	-0.207144833010771	0.0766123065891458	-0.138594061842706	CTL_881	Class1
7	-0.332881492514669	0.114458999983304	-0.414317210924325	0.270286837393164	-0.133687855525376	0.0295266157750007	-0.316383431671718	0.299147158133698	0.43844406584699	0.391358426040839	0.0602338340798635	-0.329492541505376	0.238261287049537	0.236728521698121	-0.115506420425211	-0.321583233131975	-0.212945130004255	0.125645962818295	-0.0399382060601673	-0.376795005627093	-0.179565392354728	0.242984541774666	-0.0098068904020603	-0.178910444800579	0.371765194775797	CTL_882	Class1
8	-0.0901386207480818	-0.187890207890079	-0.164704461566793	0.26825281648682	-0.147448661224876	-0.142771377689412	-0.279784163561503	0.126777218942411	0.182643512672229	0.170401419779274	0.167052080623028	0.021415065270461	-0.0480793064657177	0.0943457195140115	0.172827952471014	-0.237930737210952	-0.36355022505224	0.128148131410885	-0.113720460715795	-0.289926928951949	0.0443767033407971	-0.133927561278551	-0.333708278770755	0.261887418286734	0.129351186284097	CTL_884	Class1
9	0.226326151595051	-0.17479586076419	0.241156105660424	-0.12179616864356	0.0889016600032262	-0.127260119793598	0.347562698927176	-0.0122573098484191	-0.328003416785517	-0.205735225480549	-0.378013840960359	0.268332527660635	-0.348556719408663	0.16146782238152	-0.245383860512749	0.0210506274332737	0.311916733501362	0.226789171071084	0.235277565862799	0.233985671753374	0.191447111698624	0.0620584080336508	0.24126251919306	0.0640213244174242	-0.12900562972174	CTL_886	Class1
10	-0.0318386580952491	-0.0432054407537571	0.0403081896147988	-0.0602600961212024	-0.0184194044644198	-0.0112788299482466	-0.122836507646774	-0.0777785981521786	0.0148068147263707	0.00623349971233036	0.152098947080394	-0.0235689421364511	0.0556903206472618	-0.0259986917188194	0.117276063268641	0.0465597947877087	-0.0686451202467039	-0.0818962347009808	-0.158385801178205	0.0253890222818503	0.033457590164481	-0.131821911408426	-0.157836391647214	0.072448187760008	-0.094942866276544	CTL_885	Class1
11	-0.0551634086710157	-0.3656641341432	0.211809391211895	-0.0523044075300618	0.0981467217764149	-0.0144286754170706	-0.143212593366546	-0.0565609586078123	-0.0366554502759285	0.0149669276071885	0.0480780927808669	0.131776032496649	0.0447028676468244	0.154145681568124	0.106429057549778	-0.019464375315213	-0.274485691811655	0.0845658682722852	-0.244705479937174	0.0266042143724209	0.387863790948726	-0.287775541359418	-0.347037399117077	0.284130669116708	-0.242239906421488	CTL_876	Class1
