Gene	ModuleColor	kWithin
161	AC062017.1	brown	2.70313337173719
162	AC068533.7	grey	1.84981068209145
163	AC068620.1	grey	1.74952977530835
164	AC069368.3	grey	4.30191124205619
165	AC073343.1	darkred	1.20219506530702
166	AC073569.1	grey	2.28338715485887
167	AC074091.13	cyan	7.00885548131429
168	AC079354.1	darkred	3.87541793933209
169	AC087239.1	midnightblue	4.12282295580556
170	AC090616.2	purple	2.38921521305716
171	AC091948.1	purple	2.13337987247621
172	AC092675.3	blue	1.78941026457523
173	AC092687.4	grey	1.27973055560144
174	AC093802.1	grey	1.89631321393655
175	AC096677.1	grey	3.17949960426118
176	AC103801.2	darkturquoise	0.611828684307322
177	AC104532.2	pink	3.06771934313801
178	AC104534.3	midnightblue	4.07798636769362
179	AC104809.3	blue	19.669427498568
180	AC104841.2	grey	1.25631355285117
181	AC105020.1	grey	6.54169286778144
182	AC109829.1	grey	1.94228320555325
183	AC110084.1	grey	3.23497639040782
184	AC110619.2	turquoise	12.9716215351291
185	AC110771.1	grey	3.5294861085284
186	AC110781.3	grey	9.5866688202825
187	AC112205.1	grey	1.54254580568982
188	AC112693.2	yellow	2.86034538410726
189	AC117395.1	midnightblue	3.44078807997899
190	AC117834.1	blue	5.41857282835151
191	AC119673.1	turquoise	2.09432806440577
192	AC124890.1	blue	1.08358029022411
193	AC129492.6	grey	2.61624643360973
194	AC131097.4	grey	2.78535690763479
195	AC132192.1	grey	1.75196283333102
196	AC135048.1	grey	3.39525228630808
197	AC135178.1	royalblue	0.348215524598239
198	AC137932.1	grey	2.3657711854855
199	AC138647.1	magenta	1.52712738829804
200	AC138655.1	grey	1.37120622588988
201	AC139100.2	grey	4.01233968558687
202	AC140061.12	magenta	3.28798996110101
203	ACAA1	greenyellow	3.20666978900465
204	ACAA2	darkgrey	2.50214899551131
205	ACACA	royalblue	2.89559389569734
206	ACACB	grey	9.17416025893252
207	ACAD10	greenyellow	2.83214177612128
208	ACAD8	grey	3.38523507560788
209	ACAD9	red	8.22394109238647
210	ACADL	blue	12.2803111811148
211	ACADM	purple	0.871525315439482
212	ACADS	grey	2.43208956496418
213	ACADSB	orange	2.34083854818685
214	ACADVL	black	4.1044430046157
215	ACAN	grey	6.99697872182636
216	ACAP1	tan	3.73504445510694
217	ACAP2	yellow	3.06324977965859
218	ACAP3	purple	11.4216716810752
219	ACAT1	darkorange	2.53802490652285
220	ACAT2	grey	3.66796649487649
221	ACBD3	grey	6.69438827723037
222	ACBD4	purple	2.65875381897376
223	ACBD5	darkgrey	1.27835208032809
224	ACBD6	grey	3.52333363063168
225	ACBD7	grey	3.82802119782451
226	ACCS	cyan	1.66540113505048
227	ACD	purple	0.535052030286124
228	ACE	grey	1.92312781836573
229	ACE2	darkgrey	0.23787310068324
230	ACER1	purple	1.13989767950367
231	ACER2	brown	5.23660532385376
232	ACER3	lightcyan	5.48807098547821
233	ACHE	skyblue	1.99706725703866
234	ACIN1	magenta	7.09042456992146
235	ACKR2	grey	2.40822550467537
236	ACKR3	grey	3.59351808384411
237	ACKR4	grey	1.73039327572841
238	ACLY	darkorange	0.732860717997978
239	ACN9	yellow	2.8141149767064
240	ACO1	blue	4.15553789447414
241	ACO2	grey	6.58298641207215
242	ACOT1	grey	2.82175157599542
243	ACOT11	blue	3.64614811273009
244	ACOT12	grey	2.13073765859586
245	ACOT13	grey	2.89822939632269
246	ACOT2	red	2.749407935024
247	ACOT4	grey	3.18202846294669
248	ACOT6	grey	2.58808585003336
249	ACOT7	greenyellow	2.71889035235859
250	ACOT8	yellow	1.95310514986518
251	ACOT9	cyan	8.30944540063147
252	ACOX1	grey	5.93157944454371
253	ACOX2	grey	3.05537743613452
254	ACOX3	black	7.89636335473138
255	ACOXL	grey	4.12868654284537
256	ACP1	yellow	10.781797923943
257	ACP2	tan	2.42356264032538
258	ACP5	lightgreen	0.890218711672836
259	ACP6	grey	2.94183651892753
260	ACPL2	tan	5.51750570909907
261	ACPP	turquoise	6.90656683881072
262	ACPT	darkred	4.14184753394962
263	ACR	turquoise	12.0769729067269
