Gene	ModuleColor	kWithin
1	A1BG	grey	0.942732871062074
2	A2M	darkgreen	0.891913970632778
3	A2ML1	grey	2.91736792002238
4	A3GALT2	grey	1.11857218159532
5	A4GALT	grey	1.89522144606769
6	AAAS	grey	2.49041174546683
7	AACS	grey	5.1420741440532
8	AADAT	black	11.8915086358718
9	AAED1	black	3.74712934868576
10	AAGAB	turquoise	0.803845561144957
11	AAK1	royalblue	9.37628003062969
12	AAMDC	midnightblue	2.542999434227
13	AAMP	grey	4.30384359015257
14	AANAT	grey	2.60196351983125
15	AAR2	brown	1.2601845732439
16	AARS	grey	6.31600238510876
17	AARS2	brown	5.44718631102457
18	AASDH	grey	1.26392121029761
19	AASDHPPT	darkturquoise	8.52773295610857
20	AASS	grey	2.24273361703999
21	AATF	grey	0.786574562987093
22	AATK	red	8.32250614936398
23	ABAT	grey	1.03647464223323
24	ABCA1	green	3.64188816598288
25	ABCA10	midnightblue	1.26647965933197
26	ABCA12	grey	2.89009569197937
27	ABCA13	turquoise	2.08892448952688
28	ABCA2	magenta	13.105496039102
29	ABCA3	brown	19.6990795927102
30	ABCA4	grey	3.4874525503509
31	ABCA5	blue	2.7090041603243
32	ABCA6	grey	0.703864028726518
33	ABCA7	brown	2.50226356465122
34	ABCA8	tan	4.06075249295313
35	ABCA9	grey	0.871547729318688
36	ABCB1	darkturquoise	0.338856449237704
37	ABCB10	red	7.19495092537512
38	ABCB11	grey	1.20498183919212
39	ABCB4	pink	1.60709657181772
40	ABCB7	grey	1.66578115403897
41	ABCB8	magenta	1.03413977185972
42	ABCB9	grey	3.57287057714176
43	ABCC1	turquoise	13.2520656380914
44	ABCC10	brown	5.85100567642064
45	ABCC11	grey	3.40863481916849
46	ABCC12	grey	1.80919697907848
47	ABCC2	lightcyan	0.603217436503067
48	ABCC3	royalblue	0.877269563258007
49	ABCC4	cyan	3.05164845969679
50	ABCC5	grey	1.00731490702294
51	ABCC6	grey	2.41571809555981
52	ABCC8	brown	6.16855382289697
53	ABCC9	greenyellow	2.10459715664259
54	ABCD1	brown	3.68382337301862
55	ABCD2	cyan	7.13575080833287
56	ABCD3	salmon	6.52761380386244
57	ABCD4	grey	3.06544428310827
58	ABCE1	grey	1.26598011497137
59	ABCF1	brown	12.5741473472025
60	ABCF2	grey	1.84421769572773
61	ABCG1	midnightblue	1.23737972066854
62	ABCG2	grey	1.9862309591975
63	ABCG4	turquoise	5.17551851972973
64	ABCG5	magenta	0.201666010664852
65	ABCG8	grey60	1.07124993152997
66	ABHD1	greenyellow	3.37619056316607
67	ABHD10	yellow	0.377615345033643
68	ABHD11	grey	1.27783418858168
69	ABHD12	grey	5.40029321242816
70	ABHD12B	grey	1.68258233751075
71	ABHD13	yellow	6.43764789465318
72	ABHD14B	grey	0.89308970723378
73	ABHD15	purple	1.75830275881904
74	ABHD17A	grey	3.58921948488452
75	ABHD17B	red	4.33198658483784
76	ABHD17C	greenyellow	3.24408513333397
77	ABHD2	grey	1.83466041879602
78	ABHD3	grey	2.50293882714034
79	ABHD4	grey	3.64928743323183
80	ABHD5	grey	1.59653980929816
81	ABHD6	turquoise	15.5807295526459
82	ABHD8	grey	1.19684040310981
83	ABI1	lightgreen	2.5736292798962
84	ABI2	salmon	17.8019519678836
85	ABI3	royalblue	1.699607665398
86	ABI3BP	green	0.884449845727107
87	ABL1	brown	7.77737735493795
88	ABL2	turquoise	17.7402457197688
89	ABLIM1	greenyellow	5.84151079965796
90	ABLIM2	brown	10.6686463625468
91	ABLIM3	grey	2.69959964807619
92	ABR	lightcyan	1.36698645970342
93	ABRACL	lightgreen	0.989986998260305
94	ABT1	grey	2.17182526919832
95	ABTB1	grey	2.80139132788075
96	ABTB2	grey	1.87605027230486
97	AC002310.13	brown	5.5038130573916
98	AC002398.9	grey	1.39032331520932
99	AC002472.1	grey	0.994954649689081
100	AC002472.13	cyan	4.46548586713671
101	AC002985.3	green	1.24377797625177
102	AC003002.4	grey	0.581070304925681
103	AC003005.4	yellow	2.5236188539397
104	AC003006.7	black	1.97825906195574
105	AC003101.1	grey	1.61864335217834
106	AC004017.1	turquoise	1.20783749605717
